energy: 366923.310000, zcr: 0.000000
energy: 329172.140000, zcr: 0.000000
energy: 280285.020000, zcr: 1.000000
energy: 370443.040000, zcr: 0.000000
energy: 323781.780000, zcr: 2.000000
energy: 260179.830000, zcr: 1.000000
energy: 287011.360000, zcr: 1.000000
energy: 281267.430000, zcr: 0.000000
energy: 207979.140000, zcr: 0.000000
energy: 312162.520000, zcr: 0.000000
energy: 276818.130000, zcr: 0.000000
energy: 231259.480000, zcr: 0.000000
energy: 349457.720000, zcr: 0.000000
energy: 284054.880000, zcr: 1.000000
energy: 314796.030000, zcr: 0.000000
energy: 320404.870000, zcr: 0.000000
energy: 328551.090000, zcr: 0.000000
energy: 352223.370000, zcr: 2.000000
energy: 332485.740000, zcr: 0.000000
energy: 376952.600000, zcr: 0.000000
energy: 299623.080000, zcr: 0.000000
energy: 293102.450000, zcr: 0.000000
energy: 375710.510000, zcr: 0.000000
energy: 479185.280000, zcr: 0.000000
energy: 448917.570000, zcr: 0.000000
energy: 479270.630000, zcr: 0.000000
energy: 371246.650000, zcr: 0.000000
energy: 304157.390000, zcr: 0.000000
energy: 363237.100000, zcr: 0.000000
energy: 377235.710000, zcr: 0.000000
energy: 346407.040000, zcr: 0.000000
energy: 285234.210000, zcr: 1.000000
energy: 330772.490000, zcr: 1.000000
energy: 523485.690000, zcr: 0.000000
energy: 109284.690000, zcr: 0.000000
energy: 4131.000000, zcr: 1.000000
energy: 2886.640000, zcr: 5.000000
energy: 37516.270000, zcr: 0.000000
energy: 161.420000, zcr: 11.000000
energy: 55.450000, zcr: 14.000000
energy: 41.740000, zcr: 18.000000
energy: 41.110000, zcr: 14.000000
energy: 45.430000, zcr: 18.000000
energy: 32.270000, zcr: 17.000000
energy: 36.920000, zcr: 22.000000
energy: 32.370000, zcr: 14.000000
energy: 40.720000, zcr: 16.000000
energy: 40.120000, zcr: 12.000000
energy: 52.200000, zcr: 13.000000
energy: 39.710000, zcr: 18.000000
energy: 53.070000, zcr: 14.000000
energy: 40.370000, zcr: 15.000000
energy: 36.780000, zcr: 19.000000
energy: 41.600000, zcr: 21.000000
energy: 66.020000, zcr: 14.000000
energy: 37.480000, zcr: 19.000000
energy: 48.520000, zcr: 12.000000
energy: 44.290000, zcr: 12.000000
energy: 50.110000, zcr: 11.000000
energy: 57.310000, zcr: 16.000000
energy: 57.710000, zcr: 14.000000
energy: 41.420000, zcr: 18.000000
energy: 50.790000, zcr: 16.000000
energy: 58.770000, zcr: 11.000000
energy: 62.410000, zcr: 11.000000
energy: 45.250000, zcr: 17.000000
energy: 37.510000, zcr: 18.000000
energy: 44.530000, zcr: 18.000000
energy: 66.560000, zcr: 11.000000
energy: 38.010000, zcr: 18.000000
energy: 47.870000, zcr: 16.000000
energy: 63.820000, zcr: 8.000000
energy: 38.220000, zcr: 18.000000
energy: 31.710000, zcr: 14.000000
energy: 54.170000, zcr: 11.000000
energy: 39.960000, zcr: 12.000000
energy: 102.770000, zcr: 13.000000
energy: 88.700000, zcr: 8.000000
energy: 56.410000, zcr: 11.000000
energy: 41.990000, zcr: 14.000000
energy: 112.550000, zcr: 12.000000
energy: 1366.490000, zcr: 8.000000
energy: 228000.710000, zcr: 1.000000
energy: 169879.310000, zcr: 0.000000
energy: 177520.270000, zcr: 0.000000
energy: 484660.190000, zcr: 0.000000
energy: 394391.630000, zcr: 0.000000
energy: 428585.000000, zcr: 0.000000
energy: 782196.050000, zcr: 0.000000
energy: 913820.340000, zcr: 0.000000
energy: 815767.910000, zcr: 1.000000
energy: 1044756.230000, zcr: 0.000000
energy: 1192515.360000, zcr: 0.000000
energy: 1349436.820000, zcr: 0.000000
energy: 1833774.040000, zcr: 0.000000
energy: 2134684.470000, zcr: 0.000000
energy: 1728433.180000, zcr: 0.000000
energy: 2089086.450000, zcr: 0.000000
energy: 1488579.530000, zcr: 0.000000
energy: 1514655.710000, zcr: 1.000000
energy: 1589670.970000, zcr: 0.000000
energy: 1182778.520000, zcr: 0.000000
energy: 1482784.000000, zcr: 0.000000
energy: 1196552.150000, zcr: 0.000000
energy: 1752055.410000, zcr: 0.000000
energy: 1055535.980000, zcr: 0.000000
energy: 1052476.540000, zcr: 0.000000
energy: 1079915.760000, zcr: 0.000000
energy: 1241391.920000, zcr: 0.000000
energy: 1375165.370000, zcr: 0.000000
energy: 1252305.280000, zcr: 0.000000
energy: 961954.660000, zcr: 0.000000
energy: 1046023.990000, zcr: 0.000000
energy: 964561.340000, zcr: 0.000000
energy: 1082131.110000, zcr: 0.000000
energy: 1039067.010000, zcr: 0.000000
energy: 1104528.040000, zcr: 0.000000
energy: 913582.590000, zcr: 0.000000
energy: 727977.300000, zcr: 0.000000
energy: 841099.600000, zcr: 0.000000
energy: 771522.100000, zcr: 0.000000
energy: 733772.050000, zcr: 0.000000
energy: 660060.500000, zcr: 1.000000
energy: 776002.900000, zcr: 1.000000
energy: 815138.930000, zcr: 0.000000
energy: 594857.870000, zcr: 0.000000
energy: 601892.350000, zcr: 0.000000
energy: 674435.500000, zcr: 0.000000
energy: 622051.330000, zcr: 0.000000
energy: 586594.210000, zcr: 0.000000
energy: 460069.130000, zcr: 1.000000
energy: 464126.800000, zcr: 0.000000
energy: 692168.040000, zcr: 1.000000
energy: 697086.160000, zcr: 0.000000
energy: 1101266.190000, zcr: 0.000000
energy: 1661498.270000, zcr: 0.000000
energy: 1320051.430000, zcr: 0.000000
energy: 62137.700000, zcr: 3.000000
energy: 336.260000, zcr: 9.000000
energy: 54.850000, zcr: 11.000000
energy: 66.600000, zcr: 10.000000
energy: 37.390000, zcr: 16.000000
energy: 66.680000, zcr: 16.000000
energy: 386.500000, zcr: 8.000000
energy: 96.590000, zcr: 6.000000
energy: 7283.100000, zcr: 5.000000
energy: 797364.290000, zcr: 0.000000
